Station,Latitude,Longitude
8AVE/20ST,37.843179750000004,-122.46598975
8AVE/30ST,37.843179750000004,-122.44310225000001
8AVE/40ST,37.843179750000004,-122.42021475
8AVE/50ST,37.843179750000004,-122.39732725
8AVE/60ST,37.843179750000004,-122.37443975000001
8AVE/70ST,37.843179750000004,-122.35155225000001
8AVE/80ST,37.843179750000004,-122.32866475
9AVE/10ST,37.852236000000005,-122.48887725
9AVE/20ST,37.852236000000005,-122.46598975
9AVE/30ST,37.852236000000005,-122.44310225000001
9AVE/40ST,37.852236000000005,-122.42021475
9AVE/50ST,37.852236000000005,-122.39732725
9AVE/60ST,37.852236000000005,-122.37443975000001
9AVE/70ST,37.852236000000005,-122.35155225000001
9AVE/80ST,37.852236000000005,-122.32866475
10AVE/10ST,37.86129225,-122.48887725
10AVE/20ST,37.86129225,-122.46598975
10AVE/30ST,37.86129225,-122.44310225000001
10AVE/40ST,37.86129225,-122.42021475
10AVE/50ST,37.86129225,-122.39732725
10AVE/60ST,37.86129225,-122.37443975000001
10AVE/70ST,37.86129225,-122.35155225000001
10AVE/80ST,37.86129225,-122.32866475
11AVE/10ST,37.8703485,-122.48887725
11AVE/20ST,37.8703485,-122.46598975
11AVE/30ST,37.8703485,-122.44310225000001
11AVE/40ST,37.8703485,-122.42021475
11AVE/50ST,37.8703485,-122.39732725
11AVE/60ST,37.8703485,-122.37443975000001
11AVE/70ST,37.8703485,-122.35155225000001
11AVE/80ST,37.8703485,-122.32866475
12AVE/10ST,37.87940475,-122.48887725
12AVE/20ST,37.87940475,-122.46598975
12AVE/30ST,37.87940475,-122.44310225000001
12AVE/40ST,37.87940475,-122.42021475
12AVE/50ST,37.87940475,-122.39732725
12AVE/60ST,37.87940475,-122.37443975000001
12AVE/70ST,37.87940475,-122.35155225000001
12AVE/80ST,37.87940475,-122.32866475
13AVE/10ST,37.888461,-122.48887725
13AVE/20ST,37.888461,-122.46598975
13AVE/30ST,37.888461,-122.44310225000001
13AVE/40ST,37.888461,-122.42021475
13AVE/50ST,37.888461,-122.39732725
13AVE/60ST,37.888461,-122.37443975000001
13AVE/70ST,37.888461,-122.35155225000001
13AVE/80ST,37.888461,-122.32866475
14AVE/10ST,37.89751725,-122.48887725
14AVE/20ST,37.89751725,-122.46598975
14AVE/30ST,37.89751725,-122.44310225000001
14AVE/40ST,37.89751725,-122.42021475
14AVE/50ST,37.89751725,-122.39732725
14AVE/60ST,37.89751725,-122.37443975000001
14AVE/70ST,37.89751725,-122.35155225000001
14AVE/80ST,37.89751725,-122.32866475
15AVE/1ST,37.9065735,-122.509476
15AVE/5ST,37.9065735,-122.500321
15AVE/10ST,37.9065735,-122.48887725
15AVE/15ST,37.9065735,-122.4774335
15AVE/20ST,37.9065735,-122.46598975
15AVE/25ST,37.9065735,-122.45454600000001
15AVE/30ST,37.9065735,-122.44310225000001
15AVE/35ST,37.9065735,-122.43165850000001
15AVE/40ST,37.9065735,-122.42021475
15AVE/45ST,37.9065735,-122.408771
15AVE/50ST,37.9065735,-122.39732725
15AVE/55ST,37.9065735,-122.3858835
15AVE/60ST,37.9065735,-122.37443975000001
15AVE/65ST,37.9065735,-122.36299600000001
15AVE/70ST,37.9065735,-122.35155225000001
15AVE/75ST,37.9065735,-122.3401085
15AVE/80ST,37.9065735,-122.32866475
16AVE/1ST,37.91562975,-122.509476
16AVE/10ST,37.91562975,-122.48887725
16AVE/20ST,37.91562975,-122.46598975
16AVE/30ST,37.91562975,-122.44310225000001
16AVE/40ST,37.91562975,-122.42021475
16AVE/50ST,37.91562975,-122.39732725
16AVE/60ST,37.91562975,-122.37443975000001
16AVE/70ST,37.91562975,-122.35155225000001
16AVE/80ST,37.91562975,-122.32866475
17AVE/1ST,37.924686,-122.509476
17AVE/10ST,37.924686,-122.48887725
17AVE/20ST,37.924686,-122.46598975
17AVE/30ST,37.924686,-122.44310225000001
17AVE/40ST,37.924686,-122.42021475
17AVE/50ST,37.924686,-122.39732725
17AVE/60ST,37.924686,-122.37443975000001
17AVE/70ST,37.924686,-122.35155225000001
17AVE/80ST,37.924686,-122.32866475
18AVE/1ST,37.93374225,-122.509476
18AVE/10ST,37.93374225,-122.48887725
18AVE/20ST,37.93374225,-122.46598975
18AVE/30ST,37.93374225,-122.44310225000001
18AVE/40ST,37.93374225,-122.42021475
18AVE/50ST,37.93374225,-122.39732725
18AVE/60ST,37.93374225,-122.37443975000001
18AVE/70ST,37.93374225,-122.35155225000001
18AVE/80ST,37.93374225,-122.32866475
19AVE/1ST,37.9427985,-122.509476
19AVE/10ST,37.9427985,-122.48887725
19AVE/20ST,37.9427985,-122.46598975
19AVE/30ST,37.9427985,-122.44310225000001
19AVE/40ST,37.9427985,-122.42021475
19AVE/50ST,37.9427985,-122.39732725
19AVE/60ST,37.9427985,-122.37443975000001
19AVE/70ST,37.9427985,-122.35155225000001
19AVE/80ST,37.9427985,-122.32866475
20AVE/80ST,37.95185475,-122.32866475
